Transaction_ID,Date,Product,Category,Customer_Age,Region,Quantity,Unit_Price,Total_Sales
69,09-03-2024,Headphones,Accessories,56,South,2,527,1054
70,10-03-2024,Headphones,Accessories,33,South,2,521,1042
71,11-03-2024,Laptop,Electronics,67,North,3,1011,3033
72,12-03-2024,Smartwatch,Accessories,20,South,2,519,1038
73,13-03-2024,Smartwatch,Accessories,69,South,4,1422,5688
74,14-03-2024,Smartphone,Electronics,37,West,2,816,1632
75,15-03-2024,Smartwatch,Accessories,27,East,3,639,1917
76,16-03-2024,Smartphone,Electronics,39,West,2,841,1682
77,17-03-2024,Laptop,Accessories,65,West,2,435,870
78,18-03-2024,Headphones,Electronics,20,East,3,991,2973
79,19-03-2024,Headphones,Electronics,28,East,2,495,990
80,20-03-2024,Headphones,Accessories,42,North,1,148,148
81,21-03-2024,Smartwatch,Accessories,59,East,3,704,2112
82,22-03-2024,Laptop,Electronics,65,West,2,1128,2256
83,23-03-2024,Smartwatch,Accessories,25,East,1,1076,1076
84,24-03-2024,Smartwatch,Accessories,26,East,4,1405,5620
85,25-03-2024,Laptop,Accessories,32,East,3,983,2949
86,26-03-2024,Laptop,Electronics,49,South,2,1292,2584
87,27-03-2024,Laptop,Electronics,20,North,3,1284,3852
88,28-03-2024,Laptop,Electronics,21,South,1,866,866
89,29-03-2024,Headphones,Accessories,47,South,3,710,2130
90,30-03-2024,Tablet,Accessories,30,North,4,281,1124
91,31-03-2024,Tablet,Electronics,61,South,2,649,1298
92,01-04-2024,Laptop,Electronics,38,East,4,969,3876
93,02-04-2024,Tablet,Accessories,58,North,1,1221,1221
94,03-04-2024,Tablet,Accessories,63,South,3,1280,3840
95,04-04-2024,Laptop,Accessories,36,West,2,409,818
96,05-04-2024,Tablet,Accessories,56,South,2,1492,2984
97,06-04-2024,Smartwatch,Electronics,65,West,1,1490,1490
98,07-04-2024,Smartphone,Accessories,39,East,1,921,921
99,08-04-2024,Smartphone,Accessories,37,West,3,1255,3765
100,09-04-2024,Laptop,Electronics,54,South,2,605,1210
101,10-04-2024,Headphones,Electronics,48,South,1,1283,1283
102,11-04-2024,Laptop,Accessories,27,South,2,299,598
103,12-04-2024,Headphones,Electronics,35,North,3,645,1935
104,13-04-2024,Smartphone,Accessories,60,North,4,188,752
105,14-04-2024,Laptop,Accessories,56,South,1,1039,1039
106,15-04-2024,Smartwatch,Electronics,63,South,3,1304,3912
107,16-04-2024,Tablet,Electronics,37,East,4,959,3836
108,17-04-2024,Headphones,Accessories,35,North,3,61,183
109,18-04-2024,Tablet,Electronics,28,North,1,1029,1029
110,19-04-2024,Tablet,Accessories,39,North,3,322,966
111,20-04-2024,Laptop,Accessories,61,West,2,537,1074
112,21-04-2024,Tablet,Accessories,35,South,1,1163,1163
113,22-04-2024,Smartwatch,Electronics,51,East,2,1098,2196
114,23-04-2024,Tablet,Accessories,40,East,3,587,1761
115,24-04-2024,Laptop,Accessories,18,South,1,1034,1034
116,25-04-2024,Smartwatch,Accessories,27,South,2,1133,2266
117,26-04-2024,Smartphone,Electronics,18,East,2,1244,2488
118,27-04-2024,Tablet,Accessories,55,West,2,637,1274
119,28-04-2024,Laptop,Accessories,56,East,4,837,3348
120,29-04-2024,Smartphone,Accessories,66,West,2,970,1940
121,30-04-2024,Smartphone,Electronics,26,West,2,1083,2166
122,01-05-2024,Headphones,Accessories,48,North,3,292,876
123,02-05-2024,Smartwatch,Accessories,24,South,3,1251,3753
124,03-05-2024,Tablet,Electronics,34,North,3,847,2541
125,04-05-2024,Laptop,Electronics,52,West,3,306,918
126,05-05-2024,Headphones,Accessories,65,East,4,359,1436
127,06-05-2024,Smartwatch,Accessories,54,North,3,565,1695
128,07-05-2024,Headphones,Accessories,69,East,3,1288,3864
129,08-05-2024,Smartwatch,Electronics,35,West,3,1103,3309
130,09-05-2024,Smartwatch,Electronics,50,East,2,1419,2838
131,10-05-2024,Tablet,Accessories,21,North,4,1138,4552
132,11-05-2024,Smartwatch,Electronics,40,West,3,685,2055
133,12-05-2024,Headphones,Accessories,28,South,2,846,1692
134,13-05-2024,Smartwatch,Accessories,69,North,1,1226,1226
135,14-05-2024,Tablet,Electronics,26,North,4,89,356
136,15-05-2024,Tablet,Accessories,47,South,3,1099,3297
137,16-05-2024,Headphones,Electronics,25,West,2,1346,2692
138,17-05-2024,Smartphone,Electronics,57,South,1,1232,1232
139,18-05-2024,Smartphone,Accessories,22,North,1,630,630
140,19-05-2024,Smartwatch,Electronics,29,West,2,50,100
141,20-05-2024,Laptop,Accessories,18,East,2,128,256
142,21-05-2024,Smartwatch,Electronics,32,North,4,1301,5204
143,22-05-2024,Headphones,Accessories,42,East,2,1400,2800
144,23-05-2024,Headphones,Accessories,35,South,3,669,2007
145,24-05-2024,Headphones,Accessories,55,West,1,550,550
146,25-05-2024,Headphones,Electronics,59,South,3,1428,4284
147,26-05-2024,Headphones,Accessories,63,East,3,1197,3591
148,27-05-2024,Tablet,Electronics,43,North,3,1027,3081
149,28-05-2024,Smartphone,Electronics,57,West,1,1497,1497
150,29-05-2024,Headphones,Electronics,20,South,1,1325,1325
151,30-05-2024,Laptop,Electronics,39,East,1,535,535
152,31-05-2024,Laptop,Electronics,43,East,2,527,1054
153,01-06-2024,Laptop,Accessories,36,North,3,382,1146
154,02-06-2024,Laptop,Electronics,61,East,4,1305,5220
155,03-06-2024,Tablet,Accessories,61,West,2,79,158
156,04-06-2024,Laptop,Accessories,64,East,2,776,1552
157,05-06-2024,Headphones,Electronics,56,North,4,222,888
158,06-06-2024,Smartwatch,Accessories,53,South,3,841,2523
159,07-06-2024,Laptop,Accessories,38,West,4,517,2068
160,08-06-2024,Tablet,Electronics,58,South,1,772,772
161,09-06-2024,Tablet,Accessories,65,South,3,1390,4170
162,10-06-2024,Laptop,Electronics,43,East,2,446,892
163,11-06-2024,Smartwatch,Electronics,30,East,1,174,174
164,12-06-2024,Laptop,Electronics,53,North,1,1153,1153
165,13-06-2024,Tablet,Accessories,41,East,2,745,1490
166,14-06-2024,Smartphone,Accessories,58,East,4,576,2304
167,15-06-2024,Headphones,Accessories,43,South,1,1469,1469
168,16-06-2024,Tablet,Accessories,38,West,1,1162,1162
169,17-06-2024,Laptop,Electronics,35,East,3,1076,3228
170,18-06-2024,Headphones,Electronics,32,West,3,585,1755
171,19-06-2024,Laptop,Accessories,32,East,2,650,1300
172,20-06-2024,Laptop,Electronics,23,East,2,1037,2074
173,21-06-2024,Smartphone,Accessories,60,North,2,655,1310
174,22-06-2024,Headphones,Electronics,48,East,4,1144,4576
175,23-06-2024,Headphones,Electronics,45,North,1,749,749
176,24-06-2024,Smartphone,Electronics,25,South,2,188,376
177,25-06-2024,Tablet,Electronics,46,West,3,59,177
178,26-06-2024,Laptop,Electronics,38,East,1,179,179
179,27-06-2024,Smartwatch,Accessories,34,North,2,450,900
180,28-06-2024,Laptop,Accessories,66,South,1,1294,1294
181,29-06-2024,Laptop,Electronics,41,East,1,691,691
182,30-06-2024,Tablet,Accessories,67,North,1,486,486
183,01-07-2024,Laptop,Electronics,53,North,2,1473,2946
184,02-07-2024,Smartphone,Electronics,48,South,1,1186,1186
185,03-07-2024,Smartphone,Electronics,64,East,1,1291,1291
186,04-07-2024,Headphones,Electronics,51,East,1,107,107
187,05-07-2024,Smartwatch,Accessories,19,West,3,1186,3558
188,06-07-2024,Laptop,Electronics,59,East,2,749,1498
189,07-07-2024,Laptop,Accessories,20,North,4,1195,4780
190,08-07-2024,Tablet,Electronics,47,West,3,457,1371
191,09-07-2024,Smartphone,Electronics,25,West,1,1158,1158
192,10-07-2024,Smartwatch,Accessories,69,East,1,449,449
193,11-07-2024,Headphones,Electronics,24,West,4,405,1620
194,12-07-2024,Smartphone,Electronics,29,North,4,148,592
195,13-07-2024,Headphones,Accessories,36,North,3,567,1701
196,14-07-2024,Tablet,Accessories,43,South,1,157,157
197,15-07-2024,Tablet,Accessories,45,North,4,201,804
198,16-07-2024,Laptop,Electronics,32,South,3,955,2865
199,17-07-2024,Smartwatch,Electronics,31,West,4,899,3596
200,18-07-2024,Headphones,Accessories,65,South,1,798,798
201,19-07-2024,Smartphone,Accessories,31,East,1,76,76
202,20-07-2024,Tablet,Electronics,20,South,1,168,168
203,21-07-2024,Laptop,Electronics,67,East,1,772,772
204,22-07-2024,Laptop,Accessories,46,West,2,149,298
205,23-07-2024,Headphones,Accessories,23,South,2,52,104
206,24-07-2024,Tablet,Accessories,66,North,2,855,1710
207,25-07-2024,Smartwatch,Accessories,40,East,3,1402,4206
208,26-07-2024,Tablet,Electronics,45,West,3,1179,3537
209,27-07-2024,Headphones,Electronics,31,North,4,1303,5212
210,28-07-2024,Headphones,Electronics,31,East,4,353,1412
211,29-07-2024,Tablet,Electronics,37,West,3,226,678
212,30-07-2024,Headphones,Accessories,30,West,4,133,532
213,31-07-2024,Tablet,Electronics,44,North,3,312,936
214,01-08-2024,Smartphone,Accessories,52,West,2,1269,2538
215,02-08-2024,Tablet,Electronics,62,South,3,1322,3966
216,03-08-2024,Tablet,Electronics,19,West,3,1455,4365
217,04-08-2024,Headphones,Electronics,58,East,4,507,2028
218,05-08-2024,Headphones,Accessories,62,East,4,458,1832
219,06-08-2024,Laptop,Electronics,57,East,3,1154,3462
220,07-08-2024,Laptop,Accessories,65,South,1,1485,1485
221,08-08-2024,Smartphone,Accessories,41,North,4,255,1020
222,09-08-2024,Laptop,Electronics,46,South,3,869,2607
223,10-08-2024,Tablet,Accessories,20,South,4,1064,4256
224,11-08-2024,Headphones,Electronics,62,South,1,851,851
225,12-08-2024,Laptop,Accessories,21,West,4,944,3776
226,13-08-2024,Laptop,Electronics,67,North,3,922,2766
227,14-08-2024,Smartphone,Accessories,19,West,3,437,1311
228,15-08-2024,Smartphone,Accessories,37,South,1,943,943
229,16-08-2024,Tablet,Electronics,32,East,3,816,2448
230,17-08-2024,Headphones,Electronics,66,South,1,1472,1472
231,18-08-2024,Smartphone,Electronics,49,North,3,1081,3243
232,19-08-2024,Laptop,Electronics,59,East,3,499,1497
233,20-08-2024,Headphones,Accessories,18,North,4,391,1564
234,21-08-2024,Headphones,Accessories,55,South,4,1146,4584
235,22-08-2024,Laptop,Accessories,52,North,1,909,909
236,23-08-2024,Smartphone,Accessories,68,West,4,170,680
237,24-08-2024,Laptop,Electronics,24,East,2,351,702
238,25-08-2024,Headphones,Accessories,62,North,1,1010,1010
239,26-08-2024,Smartwatch,Electronics,30,East,2,933,1866
240,27-08-2024,Smartwatch,Accessories,66,East,1,930,930
241,28-08-2024,Tablet,Electronics,18,South,2,283,566
242,29-08-2024,Laptop,Electronics,31,South,4,115,460
243,30-08-2024,Laptop,Electronics,46,East,4,279,1116
244,31-08-2024,Tablet,Electronics,20,North,3,971,2913
245,01-09-2024,Tablet,Electronics,63,East,2,100,200
246,02-09-2024,Tablet,Accessories,41,South,3,708,2124
247,03-09-2024,Headphones,Electronics,18,North,1,1402,1402
248,04-09-2024,Laptop,Accessories,65,East,2,436,872
249,05-09-2024,Headphones,Accessories,27,South,3,1111,3333
250,06-09-2024,Tablet,Electronics,30,East,1,802,802
251,07-09-2024,Laptop,Accessories,53,East,2,1246,2492
252,08-09-2024,Headphones,Accessories,26,East,3,542,1626
253,09-09-2024,Headphones,Accessories,31,North,2,90,180
254,10-09-2024,Tablet,Electronics,53,South,2,995,1990
255,11-09-2024,Laptop,Electronics,27,South,3,1202,3606
256,12-09-2024,Tablet,Electronics,57,West,4,1127,4508
257,13-09-2024,Laptop,Electronics,40,East,4,135,540
258,14-09-2024,Smartwatch,Accessories,52,East,3,1342,4026
259,15-09-2024,Smartphone,Accessories,24,West,1,345,345
260,16-09-2024,Smartphone,Accessories,59,East,3,1094,3282
261,17-09-2024,Smartphone,Accessories,52,North,3,1288,3864
262,18-09-2024,Tablet,Accessories,19,West,2,474,948
263,19-09-2024,Smartwatch,Accessories,32,South,4,238,952
264,20-09-2024,Laptop,Electronics,26,East,4,210,840
265,21-09-2024,Headphones,Accessories,64,South,4,762,3048
266,22-09-2024,Laptop,Accessories,34,East,4,430,1720
267,23-09-2024,Headphones,Accessories,56,West,3,293,879
268,24-09-2024,Laptop,Electronics,69,South,2,232,464
269,25-09-2024,Smartwatch,Accessories,35,East,4,593,2372
270,26-09-2024,Headphones,Accessories,32,North,4,828,3312
271,27-09-2024,Tablet,Electronics,35,West,2,997,1994
272,28-09-2024,Laptop,Accessories,41,East,3,142,426
273,29-09-2024,Laptop,Electronics,40,East,3,417,1251
274,30-09-2024,Headphones,Electronics,29,East,3,208,624
275,01-10-2024,Tablet,Accessories,40,West,4,447,1788
276,02-10-2024,Tablet,Accessories,38,East,4,1253,5012
277,03-10-2024,Smartwatch,Electronics,43,East,4,487,1948
278,04-10-2024,Tablet,Accessories,25,South,3,422,1266
279,05-10-2024,Tablet,Accessories,47,South,4,355,1420
280,06-10-2024,Tablet,Electronics,51,West,1,1034,1034
281,07-10-2024,Smartphone,Electronics,19,West,2,1452,2904
282,08-10-2024,Smartwatch,Accessories,22,North,1,1291,1291
283,09-10-2024,Laptop,Electronics,48,East,1,1031,1031
284,10-10-2024,Headphones,Accessories,50,South,4,378,1512
285,11-10-2024,Laptop,Accessories,21,South,2,392,784
286,12-10-2024,Smartwatch,Accessories,23,East,1,773,773
287,13-10-2024,Headphones,Accessories,40,East,3,1236,3708
288,14-10-2024,Smartwatch,Electronics,62,West,3,207,621
289,15-10-2024,Tablet,Accessories,36,North,3,1183,3549
290,16-10-2024,Headphones,Electronics,60,North,3,399,1197
291,17-10-2024,Tablet,Accessories,62,West,2,775,1550
292,18-10-2024,Laptop,Accessories,25,West,3,414,1242
293,19-10-2024,Laptop,Electronics,56,South,2,64,128
294,20-10-2024,Headphones,Accessories,30,West,2,202,404
295,21-10-2024,Headphones,Electronics,18,North,2,581,1162
296,22-10-2024,Smartwatch,Electronics,23,South,2,1016,2032
297,23-10-2024,Smartwatch,Accessories,24,North,4,1473,5892
298,24-10-2024,Tablet,Accessories,65,East,1,1125,1125
299,25-10-2024,Headphones,Accessories,44,North,4,904,3616
300,26-10-2024,Laptop,Accessories,32,South,1,518,518
301,27-10-2024,Smartwatch,Electronics,69,North,4,1394,5576
302,28-10-2024,Smartwatch,Accessories,51,South,3,928,2784
303,29-10-2024,Laptop,Accessories,40,South,2,645,1290
304,30-10-2024,Smartwatch,Accessories,65,West,3,416,1248
305,31-10-2024,Tablet,Accessories,66,North,3,690,2070
306,01-11-2024,Headphones,Accessories,41,West,3,911,2733
307,02-11-2024,Laptop,Electronics,32,West,4,943,3772
308,03-11-2024,Headphones,Accessories,52,North,3,1089,3267
309,04-11-2024,Smartwatch,Electronics,21,South,2,1484,2968
310,05-11-2024,Smartwatch,Accessories,61,East,2,1347,2694
311,06-11-2024,Laptop,Accessories,54,North,1,638,638
312,07-11-2024,Tablet,Accessories,34,West,4,1379,5516
313,08-11-2024,Smartphone,Electronics,48,West,2,141,282
314,09-11-2024,Laptop,Accessories,55,South,2,507,1014
315,10-11-2024,Smartphone,Electronics,27,West,4,1343,5372
316,11-11-2024,Smartphone,Electronics,67,East,3,1125,3375
317,12-11-2024,Tablet,Accessories,44,West,2,1194,2388
318,13-11-2024,Smartphone,Electronics,59,South,3,1123,3369
319,14-11-2024,Smartphone,Accessories,23,North,2,1453,2906
320,15-11-2024,Tablet,Accessories,23,South,1,436,436
321,16-11-2024,Smartphone,Electronics,69,West,3,1362,4086
322,17-11-2024,Smartphone,Accessories,32,South,2,420,840
323,18-11-2024,Smartphone,Accessories,21,West,4,233,932
324,19-11-2024,Laptop,Electronics,65,South,4,821,3284
325,20-11-2024,Laptop,Electronics,57,North,4,254,1016
326,21-11-2024,Laptop,Electronics,24,West,2,1003,2006
327,22-11-2024,Tablet,Electronics,68,East,3,221,663
328,23-11-2024,Smartwatch,Electronics,66,East,1,874,874
329,24-11-2024,Smartphone,Electronics,62,East,1,271,271
330,25-11-2024,Smartphone,Accessories,64,East,2,1241,2482
331,26-11-2024,Tablet,Electronics,43,West,2,1317,2634
332,27-11-2024,Smartphone,Electronics,48,West,2,1291,2582
333,28-11-2024,Laptop,Accessories,19,North,3,1129,3387
334,29-11-2024,Smartwatch,Accessories,45,South,4,664,2656
335,30-11-2024,Headphones,Electronics,59,West,3,216,648
336,01-12-2024,Smartphone,Electronics,30,East,3,191,573
337,02-12-2024,Laptop,Accessories,35,West,2,174,348
338,03-12-2024,Headphones,Electronics,47,East,1,139,139
339,04-12-2024,Smartwatch,Electronics,28,North,3,360,1080
340,05-12-2024,Headphones,Accessories,30,South,1,1444,1444
341,06-12-2024,Laptop,Electronics,68,West,2,1001,2002
342,07-12-2024,Headphones,Accessories,41,South,3,265,795
343,08-12-2024,Tablet,Electronics,46,East,4,1259,5036
344,09-12-2024,Headphones,Accessories,22,East,4,932,3728
345,10-12-2024,Smartphone,Accessories,52,South,3,1226,3678
346,11-12-2024,Smartphone,Accessories,36,North,4,810,3240
347,12-12-2024,Tablet,Electronics,30,South,3,145,435
348,13-12-2024,Laptop,Accessories,22,South,4,759,3036
349,14-12-2024,Smartphone,Electronics,61,West,2,1409,2818
350,15-12-2024,Smartwatch,Accessories,31,West,4,198,792
351,16-12-2024,Smartphone,Accessories,55,East,4,977,3908
352,17-12-2024,Smartphone,Accessories,39,West,2,764,1528
353,18-12-2024,Laptop,Electronics,26,North,2,932,1864
354,19-12-2024,Headphones,Electronics,66,North,4,1475,5900
355,20-12-2024,Smartphone,Accessories,57,North,1,1404,1404
356,21-12-2024,Tablet,Electronics,43,East,1,1300,1300
357,22-12-2024,Headphones,Electronics,62,North,3,407,1221
358,23-12-2024,Smartwatch,Electronics,22,North,4,637,2548
359,24-12-2024,Laptop,Accessories,46,West,3,365,1095
360,25-12-2024,Smartwatch,Electronics,39,East,2,934,1868
361,26-12-2024,Headphones,Accessories,66,South,4,1109,4436
362,27-12-2024,Headphones,Accessories,20,North,2,499,998
363,28-12-2024,Headphones,Accessories,45,West,4,894,3576
364,29-12-2024,Smartwatch,Electronics,55,South,4,139,556
365,30-12-2024,Headphones,Accessories,31,North,2,590,1180
366,31-12-2024,Smartwatch,Electronics,64,South,4,225,900
367,01-01-2025,Headphones,Electronics,31,South,4,1493,5972
368,02-01-2025,Tablet,Accessories,60,East,3,697,2091
369,03-01-2025,Headphones,Accessories,28,East,2,950,1900
370,04-01-2025,Smartwatch,Accessories,26,North,1,736,736
371,05-01-2025,Smartphone,Electronics,55,North,1,1244,1244
372,06-01-2025,Headphones,Electronics,64,East,4,443,1772
373,07-01-2025,Smartphone,Accessories,61,North,3,1339,4017
374,08-01-2025,Tablet,Accessories,23,North,4,553,2212
375,09-01-2025,Laptop,Electronics,18,East,3,1207,3621
376,10-01-2025,Tablet,Electronics,42,South,4,1005,4020
377,11-01-2025,Headphones,Accessories,33,North,1,1099,1099
378,12-01-2025,Smartphone,Electronics,69,West,2,1350,2700
379,13-01-2025,Smartphone,Electronics,32,East,3,149,447
380,14-01-2025,Smartwatch,Electronics,51,North,4,474,1896
381,15-01-2025,Smartphone,Electronics,34,North,4,1103,4412
382,16-01-2025,Smartwatch,Electronics,20,East,3,955,2865
383,17-01-2025,Laptop,Electronics,20,West,3,545,1635
384,18-01-2025,Headphones,Accessories,54,West,1,700,700
385,19-01-2025,Smartwatch,Electronics,34,East,3,1047,3141
386,20-01-2025,Laptop,Accessories,66,West,4,1264,5056
387,21-01-2025,Smartphone,Accessories,69,North,1,1260,1260
388,22-01-2025,Smartphone,Electronics,55,West,1,189,189
389,23-01-2025,Laptop,Accessories,18,North,2,369,738
390,24-01-2025,Smartphone,Accessories,24,South,2,418,836
391,25-01-2025,Laptop,Accessories,43,West,2,346,692
392,26-01-2025,Smartwatch,Electronics,64,South,3,1273,3819
393,27-01-2025,Smartwatch,Accessories,56,East,1,845,845
394,28-01-2025,Laptop,Electronics,36,West,3,1452,4356
395,29-01-2025,Smartwatch,Accessories,69,North,1,1153,1153
396,30-01-2025,Smartwatch,Accessories,47,West,4,550,2200
397,31-01-2025,Smartwatch,Accessories,60,East,3,308,924
398,01-02-2025,Tablet,Accessories,31,East,1,1194,1194
399,02-02-2025,Headphones,Electronics,30,North,2,1128,2256
400,03-02-2025,Smartphone,Accessories,37,West,2,67,134
401,04-02-2025,Tablet,Accessories,43,South,4,1382,5528
402,05-02-2025,Smartwatch,Electronics,44,East,3,159,477
403,06-02-2025,Laptop,Electronics,42,East,1,380,380
404,07-02-2025,Smartwatch,Electronics,26,North,2,995,1990
405,08-02-2025,Headphones,Accessories,58,West,1,1337,1337
406,09-02-2025,Smartwatch,Electronics,65,South,3,317,951
407,10-02-2025,Laptop,Electronics,29,West,2,484,968
408,11-02-2025,Headphones,Electronics,27,West,4,499,1996
409,12-02-2025,Smartwatch,Electronics,23,South,4,346,1384
410,13-02-2025,Headphones,Electronics,67,North,3,1210,3630
411,14-02-2025,Smartphone,Electronics,51,East,3,768,2304
412,15-02-2025,Smartphone,Accessories,69,North,1,1070,1070
413,16-02-2025,Smartwatch,Electronics,58,North,4,1470,5880
414,17-02-2025,Headphones,Accessories,36,West,3,233,699
415,18-02-2025,Laptop,Electronics,23,South,3,461,1383
416,19-02-2025,Smartwatch,Electronics,19,East,4,369,1476
417,20-02-2025,Smartphone,Electronics,32,West,1,790,790
418,21-02-2025,Smartphone,Accessories,34,East,1,1399,1399
419,22-02-2025,Smartwatch,Electronics,33,West,4,854,3416
420,23-02-2025,Headphones,Electronics,45,South,4,466,1864
421,24-02-2025,Smartphone,Electronics,38,East,4,931,3724
422,25-02-2025,Headphones,Electronics,25,East,4,840,3360
423,26-02-2025,Smartphone,Accessories,27,North,4,139,556
424,27-02-2025,Smartphone,Accessories,27,West,3,808,2424
425,28-02-2025,Tablet,Accessories,67,West,2,1148,2296
426,01-03-2025,Smartphone,Accessories,27,West,4,623,2492
427,02-03-2025,Laptop,Accessories,26,North,2,1340,2680
428,03-03-2025,Smartwatch,Electronics,45,North,1,1012,1012
429,04-03-2025,Smartwatch,Electronics,41,East,3,985,2955
430,05-03-2025,Headphones,Electronics,36,West,2,1385,2770
431,06-03-2025,Smartphone,Accessories,50,West,1,1101,1101
432,07-03-2025,Laptop,Electronics,21,East,1,1415,1415
433,08-03-2025,Headphones,Accessories,20,East,1,475,475
434,09-03-2025,Tablet,Electronics,59,East,4,932,3728
435,10-03-2025,Headphones,Accessories,29,South,3,835,2505
436,11-03-2025,Headphones,Electronics,35,South,1,584,584
437,12-03-2025,Smartphone,Electronics,40,East,4,1483,5932
438,13-03-2025,Tablet,Electronics,37,North,2,334,668
439,14-03-2025,Headphones,Electronics,23,North,3,671,2013
440,15-03-2025,Laptop,Accessories,51,West,2,1179,2358
441,16-03-2025,Laptop,Electronics,59,South,2,553,1106
442,17-03-2025,Smartwatch,Electronics,19,South,4,95,380
443,18-03-2025,Tablet,Electronics,47,East,2,1217,2434
444,19-03-2025,Tablet,Accessories,26,East,3,586,1758
445,20-03-2025,Smartwatch,Electronics,44,East,2,111,222
446,21-03-2025,Headphones,Electronics,59,East,4,1155,4620
447,22-03-2025,Tablet,Electronics,51,East,1,385,385
448,23-03-2025,Laptop,Electronics,57,North,4,260,1040
449,24-03-2025,Laptop,Electronics,41,North,1,449,449
450,25-03-2025,Smartphone,Accessories,66,East,2,758,1516
451,26-03-2025,Tablet,Accessories,34,North,1,396,396
452,27-03-2025,Headphones,Accessories,46,East,4,1271,5084
453,28-03-2025,Smartwatch,Electronics,53,East,4,426,1704
454,29-03-2025,Smartwatch,Accessories,67,South,3,1235,3705
